Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
70007940;CU;1;1;46;MM;100;MM;200;MM;0,92;CDM;102;G;87;G
70007940;PAL;1 512;1;1 200,00;MM;800;MM;1 649,00;MM;1 583,04;CDM;178 476,00;G;131 544,00;G
70007940;PC;1;4;0;;0;;0;;0;;0;;87;G
70007940;PLR;216;1;1 200,00;MM;800;MM;215;MM;206,4;CDM;22 068,00;G;18 792,00;G
70007940;SU;12;1;265;MM;200;MM;215;MM;11,395;CDM;1 226,00;G;1 044,00;G
7000803A;CU;1;1;20;MM;90;MM;270;MM;0,486;CDM;48,5;G;43,65;G
7000803A;PAL;2 400;1;1 200,00;MM;800;MM;1 880,00;MM;1 804,80;CDM;136 000,00;G;104 760,00;G
7000803A;PC;1;10;0;;0;;0;;0;CDM;0;;43,65;G
7000803A;PLR;240;1;1 200,00;MM;800;MM;173;MM;168;CDM;11 652,00;G;10 476,00;G
7000803A;SU;20;1;385;MM;195;MM;173;MM;12,988;CDM;971;G;873;G
7000803C;CU;1;1;48;MM;65;MM;120;MM;0,374;CDM;52;G;46;G
7000803C;PAL;1 800;1;1 200,00;MM;800;MM;900;MM;864;CDM;117 600,00;G;82 800,00;G
7000803C;PC;1;10;0;;0;;0;;0;CDM;0;;46;G
7000803C;PLR;300;1;1 200,00;MM;800;MM;126;MM;120,96;CDM;15 600,00;G;13 800,00;G
7000803C;SU;10;1;221;MM;125;MM;126;MM;3,481;CDM;520;G;460;G
7000805H;CU;1;1;20;MM;75;MM;200;MM;0,3;CDM;23,4;G;22,2;G
7000805H;PAL;3 040;1;1 200,00;MM;800;MM;1 800,00;MM;1 728,00;CDM;112 464,00;G;67 488,00;G
7000805H;PC;1;5;0;;0;;0;;0;CDM;0;;22,2;G
7000805H;PLR;380;1;1 200,00;MM;800;MM;207;MM;198,72;CDM;11 058,00;G;8 436,00;G
7000805H;SU;20;1;243;MM;194;MM;207;MM;9,758;CDM;582;G;444;G
7000806A;CU;1;1;45;MM;65;MM;128;MM;0,351;CDM;46;G;43,75;G
7000806A;PAL;3 360;1;1 200,00;MM;800;MM;1 686,00;MM;1 618,56;CDM;198 216,00;G;147 000,00;G
7000806A;PC;1;10;0;;0;;0;;0;CDM;46;G;43,75;G
7000806A;PLR;280;1;1 200,00;MM;800;MM;128;MM;122,88;CDM;14 518,00;G;12 250,00;G
7000806A;PLU;3 600;1;1 200,00;MM;1 000,00;MM;1 443,00;MM;1 731,60;CDM;211 660,00;G;157 500,00;G
7000806A;PRU;360;1;1 200,00;MM;1 000,00;MM;128;MM;153,6;CDM;18 666,00;G;15 750,00;G
7000806A;SU;20;1;260;MM;230;MM;128;MM;7,654;CDM;1 037,00;G;875;G
70008120;CU;1;1;38;MM;90;MM;200;MM;0,684;CDM;86,8;G;46,68;G
70008120;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 406,00;G;2 334,00;G
70008120;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;137 526,00;G;49 014,00;G
70008120;PC;1;1;38;MM;90;MM;200;MM;0,684;CDM;86,8;G;46,68;G
70008120;PLR;350;1;1 095,00;MM;698;MM;427;MM;409,92;CDM;37 842,00;G;16 338,00;G
70008120;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 717,20;CDM;187 180,00;G;70 020,00;G
70008120;PRU;500;1;1 136,00;MM;958;MM;427;MM;464,699;CDM;54 060,00;G;23 340,00;G
70008120;SU;5;1;95;MM;210;MM;206;MM;4,11;CDM;508;G;233,4;G
7000879G;CU;1;1;5;MM;60;MM;230;MM;0,069;CDM;21,9;G;17;G
7000879G;DU;240;1;565;MM;399;MM;245;MM;51,48;CDM;5 727,00;G;4 080,00;G
7000879G;PAL;5 760;1;1 200,00;MM;800;MM;1 614,00;MM;1 526,40;CDM;161 448,00;G;97 920,00;G
7000879G;PC;1;1;0;;0;;0;;0;CDM;0;G;17;G
7000879G;PLR;960;1;1 130,00;MM;798;MM;245;MM;230,4;CDM;22 908,00;G;16 320,00;G
7000879G;PLU;6 000;1;1 200,00;MM;1 000,00;MM;1 375,00;MM;1 650,00;CDM;168 175,00;G;102 000,00;G
7000879G;PRU;1 200;1;1 197,00;MM;964;MM;245;MM;282,707;CDM;28 635,00;G;20 400,00;G
7000879G;SU;10;1;132;MM;61;MM;231;MM;1,95;CDM;219;G;170;G
7000883D;CU;1;1;50;MM;60;MM;185;MM;0,555;CDM;16,75;G;8,25;G
7000883D;DU;110;1;553;MM;227;MM;197;MM;24,73;CDM;2 562,60;G;907,5;G
7000883D;PAL;5 390;1;1 200,00;MM;800;MM;1 523,00;MM;1 462,08;CDM;149 567,40;G;44 467,50;G
7000883D;PC;1;1;50;MM;60;MM;185;MM;0,555;CDM;16,75;G;8,25;G
7000883D;PLR;770;1;1 135,00;MM;780;MM;197;MM;174,404;CDM;17 938,20;G;6 352,50;G
7000883D;PLU;5 280;1;1 200,00;MM;1 000,00;MM;1 332,00;MM;1 598,40;CDM;148 004,80;G;43 560,00;G
7000883D;PRU;880;1;1 106,00;MM;908;MM;197;MM;197,837;CDM;20 500,80;G;7 260,00;G
7000883D;SU;10;1;145;MM;62;MM;187;MM;1,681;CDM;210;G;82,5;G
7000885D;CU;1;1;5;MM;85;MM;185;MM;0,079;CDM;53,2;G;47;G
7000885D;DU;96;1;358;MM;300;MM;198;MM;21,05;CDM;5 104,00;G;4 512,00;G
7000885D;PAL;5 376;1;1 200,00;MM;800;MM;1 530,00;MM;1 461,12;CDM;309 824,00;G;252 672,00;G
7000885D;PC;1;1;5;MM;85;MM;185;MM;0,079;CDM;53,2;G;47;G
7000885D;PLR;768;1;1 200,00;MM;716;MM;198;MM;188,16;CDM;40 832,00;G;36 096,00;G
7000885D;PLU;5 760;1;1 200,00;MM;1 000,00;MM;1 338,00;MM;1 605,60;CDM;331 240,00;G;270 720,00;G
7000885D;PRU;960;1;1 200,00;MM;958;MM;198;MM;227,621;CDM;51 040,00;G;45 120,00;G
7000885D;SU;6;1;87;MM;73;MM;188;MM;1,254;CDM;319;G;282;G
7000885V;CU;1;1;5;MM;85;MM;185;MM;0,079;CDM;62;G;53,23;G
7000885V;DU;96;1;358;MM;300;MM;198;MM;21,265;CDM;6 779,00;G;5 110,08;G
7000885V;PAL;5 376;1;1 200,00;MM;800;MM;1 530,00;MM;1 468,80;CDM;403 624,00;G;286 164,48;G
7000885V;PC;1;1;5;MM;85;MM;185;MM;0,079;CDM;62;G;53,23;G
7000885V;PLR;768;1;1 200,00;MM;716;MM;198;MM;170,122;CDM;54 232,00;G;40 880,64;G
7000885V;PLU;5 760;1;1 200,00;MM;1 000,00;MM;1 338,00;MM;1 605,60;CDM;431 740,00;G;306 604,80;G
7000885V;PRU;960;1;1 200,00;MM;958;MM;198;MM;227,621;CDM;67 790,00;G;51 100,80;G
7000885V;SU;6;1;78;MM;88;MM;185;MM;1,27;CDM;408;G;319,38;G
7000886D;CU;1;1;5;MM;85;MM;185;MM;0,079;CDM;51,77;G;46,53;G
7000886D;DU;96;1;358;MM;300;MM;198;MM;21,05;CDM;4 960,00;G;4 466,88;G
7000886D;PAL;5 376;1;1 200,00;MM;958;MM;198;MM;1 461,12;CDM;301 760,00;G;250 145,28;G
7000886D;PC;1;1;0;;0;;0;;0;CDM;0;;46,53;G
