Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
W302039801;PLU;1 000;1;1 200,00;MM;1 000,00;MM;1 215,00;MM;1 458,00;CDM;211 000,00;G;55 000,00;G
W302039801;PRU;200;1;1 154,00;MM;964;MM;213;MM;236,953;CDM;37 200,00;G;11 000,00;G
W302039801;SU;5;1;241;MM;112;MM;213;MM;5,749;CDM;930;G;275;G
W302040001;CU;1;1;30;MM;100;MM;203;MM;0,609;CDM;77;G;47;G
W302040001;PAL;1 620;1;1 200,00;MM;800;MM;1 440,00;MM;1 382,40;CDM;179 520,00;G;76 140,00;G
W302040001;PC;1;1;30;MM;100;MM;203;MM;0,609;CDM;77;G;47;G
W302040001;PLR;270;1;1 200,00;MM;795;MM;216;MM;206,064;CDM;25 920,00;G;12 690,00;G
W302040001;PLU;1 700;1;1 200,00;MM;1 000,00;MM;1 230,00;MM;1 476,00;CDM;188 200,00;G;79 900,00;G
W302040001;PRU;340;1;1 200,00;MM;990;MM;216;MM;256,608;CDM;32 640,00;G;15 980,00;G
W302040001;SU;5;1;150;MM;115;MM;216;MM;3,726;CDM;480;G;235;G
W302040101;CU;1;1;19;MM;101;MM;110;MM;0,211;CDM;28,2;G;13,2;G
W302040101;PAL;4 620;1;1 200,00;MM;800;MM;1 475,00;MM;1 416,00;CDM;193 554,00;G;60 984,00;G
W302040101;PC;1;4;0;MM;0;MM;0;MM;0;CDM;0;G;13,2;G
W302040101;PLR;420;1;1 192,00;MM;798;MM;121;MM;115,097;CDM;15 414,00;G;5 544,00;G
W302040101;PLU;4 680;1;1 200,00;MM;1 000,00;MM;1 239,00;MM;1 486,80;CDM;196 756,00;G;61 776,00;G
W302040101;PRU;520;1;1 200,00;MM;1 000,00;MM;121;MM;145,2;CDM;19 084,00;G;6 864,00;G
W302040101;SU;10;1;197;MM;114;MM;121;MM;2,717;CDM;367;G;132;G
W302040500;CU;1;1;30;MM;100;MM;203;MM;0,609;CDM;77;G;47;G
W302040500;PAL;1 620;1;1 200,00;MM;800;MM;1 440,00;MM;1 382,40;CDM;179 520,00;G;76 140,00;G
W302040500;PC;1;1;30;MM;100;MM;203;MM;0,609;CDM;77;G;47;G
W302040500;PLR;270;1;1 200,00;MM;795;MM;216;MM;206,064;CDM;25 920,00;G;12 690,00;G
W302040500;PLU;1 700;1;1 200,00;MM;1 000,00;MM;1 230,00;MM;1 491,60;CDM;188 200,00;G;79 900,00;G
W302040500;PRU;340;1;1 200,00;MM;990;MM;216;MM;259,2;CDM;32 640,00;G;15 980,00;G
W302040500;SU;5;1;150;MM;115;MM;216;MM;3,726;CDM;480;G;235;G
W302076301;CU;1;1;30,16;MM;99,08;MM;222,25;MM;0,664;CDM;120,99;G;65,91;G
W302076301;PAL;1 260;1;1 200,00;MM;800;MM;1 635,77;MM;1 570,34;CDM;197 922,40;G;83 046,60;G
W302076301;PC;1;1;30,16;MM;99,08;MM;222,25;MM;0,664;CDM;120,99;G;65,91;G
W302076301;PLR;180;1;1 200,00;MM;800;MM;213,11;MM;204,586;CDM;24 703,20;G;11 863,80;G
W302076301;PLU;1 440;1;1 200,00;MM;1 000,00;MM;1 441,00;MM;1 729,20;CDM;227 625,60;G;94 910,40;G
W302076301;PRU;240;1;1 200,00;MM;1 000,00;MM;213,11;MM;255,732;CDM;32 937,60;G;15 818,40;G
W302076301;SU;12;1;206,57;MM;206,57;MM;213,11;MM;9,094;CDM;1 646,88;G;790,92;G
W302076302;CU;1;1;30,16;MM;92,08;MM;192,09;MM;0,595;CDM;116;G;116;G
W302076302;DU;12;1;207;MM;207;MM;214;MM;33,862;CDM;1 607,00;G;1 392,00;G
W302076302;PAL;1 200;1;1 200,00;MM;800;MM;1 214,00;MM;1 656,96;CDM;184 700,00;G;139 200,00;G
W302076302;PC;1;1;30,16;MM;92,08;MM;192,09;MM;0,595;CDM;116;G;116;G
W302076302;PLR;240;1;1 035,00;MM;828;MM;214;MM;136,292;CDM;32 140,00;G;27 840,00;G
W302076302;PLU;1 800;1;1 200,00;MM;1 000,00;MM;1 220,00;MM;1 553,46;CDM;266 050,00;G;208 800,00;G
W302076302;PRU;360;1;1 242,00;MM;1 035,00;MM;214;MM;208,259;CDM;48 210,00;G;41 760,00;G
W302076302;SU;3;1;91;MM;93;MM;223;MM;3,007;CDM;354;G;348;G
W302076401;CU;1;1;19,1;MM;95,3;MM;114,3;MM;0,595;CDM;35,13;G;25,03;G
W302076401;DU;200;1;511;MM;250;MM;423;MM;54,038;CDM;5 822,00;G;5 006,00;G
W302076401;PAL;3 600;1;1 200,00;MM;800;MM;1 413,00;MM;1 356,48;CDM;128 796,00;G;90 108,00;G
W302076401;PC;1;4;19,1;MM;95,3;MM;114,3;MM;0,595;CDM;35,13;G;25,03;G
W302076401;PLR;1 200;1;1 200,00;MM;800;MM;423;MM;406,08;CDM;34 932,00;G;30 036,00;G
W302076401;PLU;4 800;1;1 200,00;MM;1 000,00;MM;1 419,00;MM;1 702,80;CDM;164 728,00;G;120 144,00;G
W302076401;PRU;1 600;1;1 022,00;MM;1 000,00;MM;423;MM;432,306;CDM;46 576,00;G;40 048,00;G
W302076401;SU;10;1;207;MM;99;MM;118;MM;2,418;CDM;405;G;250,3;G
W302076402;CU;1;1;19,1;MM;95,3;MM;114,3;MM;0,595;CDM;40;G;40;G
W302076402;DU;72;1;275;MM;208;MM;215;MM;33,862;CDM;3 116,00;G;2 880,00;G
W302076402;PAL;5 040;1;1 200,00;MM;800;MM;1 219,00;MM;1 170,24;CDM;242 120,00;G;201 600,00;G
W302076402;PC;1;4;19,1;MM;95,3;MM;114,3;MM;0,595;CDM;40;G;40;G
W302076402;PLR;1 008;1;1 100,00;MM;758;MM;215;MM;179,267;CDM;43 624,00;G;40 320,00;G
W302076402;PLU;7 200;1;1 200,00;MM;1 000,00;MM;1 225,00;MM;1 470,00;CDM;336 600,00;G;288 000,00;G
W302076402;PRU;1 440;1;1 100,00;MM;1 040,00;MM;215;MM;245,96;CDM;62 320,00;G;57 600,00;G
W302076402;SU;6;1;58;MM;96;MM;180;MM;3,007;CDM;243;G;240;G
W302084600;CU;1;1;90;MM;38;MM;200;MM;0,823;CDM;181;G;62,38;G
W302084600;DU;20;1;390;MM;212;MM;214;MM;20,746;CDM;4 246,00;G;1 247,60;G
W302084600;PAL;1 400;1;1 200,00;MM;800;MM;1 642,00;MM;1 584,00;CDM;321 220,00;G;87 332,00;G
W302084600;PC;1;1;90;MM;38;MM;200;MM;4,281;CDM;181;G;62,38;G
W302084600;PLR;200;1;1 060,00;MM;780;MM;214;MM;1 584,00;CDM;42 460,00;G;12 476,00;G
W302084600;PLU;1 560;1;1 200,00;MM;1 000,00;MM;1 434,00;MM;1,721;M3;356 188,00;G;97 312,80;G
W302084600;PRU;260;1;1 170,00;MM;992;MM;214;MM;2,484;HL;55 198,00;G;16 218,80;G
W302084600;SU;5;1;197;MM;184;MM;87;MM;20,746;CDM;969;G;311,9;G
W302089000;CU;1;1;30;MM;100;MM;203;MM;0,609;CDM;158;G;55;G
W302089000;PAL;1 620;1;1 200,00;MM;800;MM;1 440,00;MM;1 382,40;CDM;325 320,00;G;89 100,00;G
W302089000;PC;1;1;30;MM;100;MM;203;MM;0,609;CDM;158;G;55;G
W302089000;PLR;270;1;1 200,00;MM;795;MM;216;MM;206,064;CDM;50 220,00;G;14 850,00;G
W302089000;PLU;1 700;1;1 200,00;MM;1 000,00;MM;1 230,00;MM;1 476,00;CDM;341 200,00;G;93 500,00;G
W302089000;PRU;340;1;1 200,00;MM;990;MM;216;MM;256,608;CDM;63 240,00;G;18 700,00;G
W302089000;SU;5;1;150;MM;115;MM;216;MM;3,726;CDM;930;G;275;G
W302089400;CU;1;1;18,5;MM;79,5;MM;202,25;MM;0,297;CDM;40,72;G;18,71;G
W302089400;DU;40;1;335;MM;220;MM;180;MM;13,266;CDM;1 629,00;G;748,4;G
W302089400;PAL;3 520;1;1 200,00;MM;800;MM;1 584,00;MM;1,521;M3;167 352,00;G;65 859,20;G
W302089400;PC;1;3;18,5;MM;79,5;MM;202,25;MM;0,297;CDM;0;G;18,71;G
W302089400;PLR;440;1;1 100,00;MM;775;MM;180;MM;1,535;HL;17 919,00;G;8 232,40;G
W302089400;PLU;3 920;1;1 200,00;MM;1 000,00;MM;1 410,00;MM;1,692;M3;184 642,00;G;73 343,20;G
W302089400;PRU;560;1;1 100,00;MM;995;MM;180;MM;0,197;M3;22 806,00;G;10 477,60;G
W302089400;SU;10;1;206;MM;80;MM;166;MM;2,736;CDM;407;G;187,1;G
W302089401;CU;1;1;79,5;MM;16,5;MM;202,5;MM;0,266;CDM;40,69;G;18,71;G
W302089401;DU;40;1;365;MM;175;MM;220;MM;14,053;CDM;1 628,00;G;748,4;G
W302089401;PAL;3 360;1;1 200,00;MM;800;MM;1 684,00;MM;1 616,64;CDM;160 752,00;G;62 865,60;G
W302089401;PC;1;3;0;MM;0;MM;0;MM;0;CDM;0;G;18,71;G
W302089401;PLR;480;1;1 095,00;MM;715;MM;220;MM;172,244;CDM;19 536,00;G;8 980,80;G
W302089401;PLU;3 600;1;1 200,00;MM;1 000,00;MM;1 470,00;MM;1 764,00;CDM;171 520,00;G;67 356,00;G
W302089401;PRU;600;1;1 095,00;MM;890;MM;220;MM;214,401;CDM;24 420,00;G;11 226,00;G
W302089401;SU;10;1;177;MM;81;MM;206;MM;2,953;CDM;407;G;187,1;G
W302089601;CU;1;1;35;MM;105;MM;200;MM;0,735;CDM;163;G;113,5;G
W302089601;DU;20;1;379;MM;238;MM;230;MM;20,746;CDM;3 992,00;G;2 270,00;G
W302089601;PAL;1 400;1;1 200,00;MM;800;MM;1 754,00;MM;1 683,84;CDM;303 440,00;G;158 900,00;G
W302089601;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;113,5;G
W302089601;PLR;200;1;1 190,00;MM;758;MM;230;MM;207,465;CDM;39 920,00;G;22 700,00;G
W302089601;PLU;1 200;1;1 200,00;MM;1 000,00;MM;1 300,00;MM;1 560,00;CDM;264 520,00;G;136 200,00;G
W302089601;PRU;240;1;1 137,00;MM;952;MM;230;MM;248,958;CDM;47 904,00;G;27 240,00;G
W302089601;SU;5;1;179;MM;111;MM;211;MM;4,192;CDM;905,3;G;567,5;G
W302089603;CU;1;1;35;MM;105;MM;200;MM;0,735;CDM;163;G;113,5;G
W302089603;DU;20;1;379;MM;238;MM;230;MM;20,746;CDM;3 992,00;G;2 270,00;G
W302089603;PAL;1 400;1;1 200,00;MM;800;MM;1 754,00;MM;1 683,84;CDM;303 440,00;G;158 900,00;G
W302089603;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;113,5;G
W302089603;PLR;200;1;1 190,00;MM;758;MM;230;MM;207,465;CDM;39 920,00;G;22 700,00;G
W302089603;PLU;1 200;1;1 200,00;MM;1 000,00;MM;1 300,00;MM;1 560,00;CDM;264 520,00;G;136 200,00;G
W302089603;PRU;240;1;1 137,00;MM;952;MM;230;MM;248,958;CDM;47 904,00;G;27 240,00;G
W302089603;SU;5;1;179;MM;111;MM;211;MM;4,192;CDM;905,3;G;567,5;G
W302089700;CU;1;1;40;MM;90;MM;199;MM;0,716;CDM;69,8;G;26;G
W302089700;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;4 556,00;G;1 300,00;G
W302089700;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;119 676,00;G;27 300,00;G
W302089700;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;26;G
W302089700;PLR;350;1;1 095,00;MM;698;MM;427;MM;409,92;CDM;31 892,00;G;9 100,00;G
W302089700;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 717,20;CDM;161 680,00;G;39 000,00;G
W302089700;PRU;500;1;1 136,00;MM;958;MM;427;MM;464,699;CDM;45 560,00;G;13 000,00;G
W302089700;SU;5;1;95;MM;210;MM;206;MM;4,11;CDM;422;G;130;G
W302089800;CU;1;1;40;MM;90;MM;199;MM;0,716;CDM;68,56;G;28,57;G
W302089800;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;4 487,00;G;1 428,50;G
W302089800;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;118 227,00;G;29 998,50;G
W302089800;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;28,57;G
W302089800;PLR;350;1;1 095,00;MM;698;MM;427;MM;409,92;CDM;31 409,00;G;9 999,50;G
W302089800;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 717,20;CDM;159 610,00;G;42 855,00;G
W302089800;PRU;500;1;1 136,00;MM;958;MM;427;MM;464,699;CDM;44 870,00;G;14 285,00;G
W302089800;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;415,8;G;142,85;G
W302113300;CU;1;1;30;MM;90;MM;175;MM;0,473;CDM;137,8;G;59,26;G
W302113300;DU;20;1;400;MM;175;MM;205;MM;14,35;CDM;2 756,00;G;1 185,20;G
W302113300;PAL;1 680;1;1 200,00;MM;800;MM;1 579,00;MM;1 515,84;CDM;255 504,00;G;99 556,80;G
W302113300;PC;1;1;30;MM;90;MM;175;MM;0,473;CDM;137,8;G;59,26;G
W302113300;PLR;240;1;1 200,00;MM;700;MM;205;MM;172,2;CDM;33 072,00;G;14 222,40;G
W302113300;PLU;1 800;1;1 200,00;MM;1 000,00;MM;1 380,00;MM;1,656;M3;273 040,00;G;106 668,00;G
W302113300;PRU;300;1;1 200,00;MM;875;MM;205;MM;2,152;HL;41 340,00;G;17 778,00;G
W302113300;SU;5;1;160;MM;95;MM;185;MM;2,812;CDM;689;G;296,3;G
W302121700;CU;1;1;38;MM;90;MM;199;MM;0,681;CDM;93,7;G;46,4;G
W302121700;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 753,00;G;2 320,00;G
W302121700;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;144 813,00;G;48 720,00;G
W302121700;PC;1;1;0;;0;;0;;0;CDM;0;G;46,4;G
W302121700;PLR;350;1;1 095,00;MM;698;MM;427;MM;409,92;CDM;40 271,00;G;16 240,00;G
W302121700;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1,717;M3;197 590,00;G;69 600,00;G
W302121700;PRU;500;1;1 136,00;MM;958;MM;427;MM;0,465;M3;57 530,00;G;23 200,00;G
W302121700;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;543;G;232;G
W302121701;CU;1;1;38;MM;90;MM;199;MM;0,681;CDM;93,7;G;46,4;G
W302121701;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 753,00;G;2 320,00;G
W302121701;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;144 813,00;G;48 720,00;G
W302121701;PC;1;1;0;;0;;0;;0;CDM;0;G;46,4;G
W302121701;PLR;350;1;1 095,00;MM;698;MM;427;MM;409,92;CDM;40 271,00;G;16 240,00;G
W302121701;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 717,20;CDM;197 590,00;G;69 600,00;G
W302121701;PRU;500;1;1 136,00;MM;958;MM;427;MM;464,699;CDM;57 530,00;G;23 200,00;G
W302121701;SU;5;1;95;MM;210;MM;206;MM;4,11;CDM;542;G;232;G
W302122300;CU;1;1;32;MM;93;MM;112;MM;0,333;CDM;32;G;13,9;G
W302122300;DU;100;1;525;MM;200;MM;320;MM;33,6;CDM;4 158,00;G;1 390,00;G
W302122300;PAL;4 000;1;1 200,00;MM;800;MM;1 744,00;MM;1 674,24;CDM;190 320,00;G;55 600,00;G
W302122300;PC;1;4;0;MM;0;MM;0;MM;0;CDM;0;G;13,9;G
W302122300;PLR;800;1;1 050,00;MM;800;MM;320;MM;307,2;CDM;33 264,00;G;11 120,00;G
W302122300;PLU;4 000;1;1 200,00;MM;1 000,00;MM;1 430,00;MM;1,716;M3;191 320,00;G;55 600,00;G
W302122300;PRU;1 000;1;1 050,00;MM;1 000,00;MM;320;MM;0,336;M3;41 580,00;G;13 900,00;G
W302122300;SU;10;1;180;MM;98;MM;151;MM;2,785;CDM;376;G;139;G
W302123000;CU;1;1;40;MM;91;MM;202;MM;0,735;CDM;82;G;42,92;G
W302123000;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 270,00;G;2 146,00;G
W302123000;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;134 670,00;G;45 066,00;G
W302123000;PC;1;1;0;;0;;0;;0;CDM;0;G;42,92;G
W302123000;PLR;350;1;1 200,00;MM;698;MM;427;MM;357,655;CDM;36 890,00;G;15 022,00;G
W302123000;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;484;G;214,6;G
W302123001;CU;1;1;40;MM;91;MM;202;MM;0,735;CDM;82;G;42,92;G
W302123001;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 159,00;G;2 146,00;G
W302123001;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;132 339,00;G;45 066,00;G
W302123001;PC;1;1;40;MM;91;MM;202;MM;0,735;CDM;82;G;42,92;G
W302123001;PLR;350;1;1 095,00;MM;698;MM;427;MM;357,655;CDM;36 113,00;G;15 022,00;G
W302123001;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 717,20;CDM;179 770,00;G;64 380,00;G
W302123001;PRU;500;1;1 136,00;MM;958;MM;427;MM;464,699;CDM;51 590,00;G;21 460,00;G
W302123001;SU;5;1;95;MM;210;MM;206;MM;4,11;CDM;483;G;214,6;G
W302123200;CU;1;1;19;MM;96;MM;112;MM;0,204;CDM;34;G;23,2;G
W302123200;DU;200;1;511;MM;250;MM;423;MM;54,038;CDM;8 238,00;G;4 640,00;G
W302123200;PAL;3 600;1;1 200,00;MM;800;MM;1 413,00;MM;1 356,48;CDM;172 284,00;G;83 520,00;G
W302123200;PC;1;4;19;MM;96;MM;112;MM;0,204;CDM;34;G;23,2;G
W302123200;PLR;1 200;1;1 022,00;MM;750;MM;423;MM;324,23;CDM;49 428,00;G;27 840,00;G
W302123200;PLU;4 800;1;1 200,00;MM;1 000,00;MM;1 419,00;MM;1 702,80;CDM;222 712,00;G;111 360,00;G
W302123200;PRU;1 600;1;1 022,00;MM;1 000,00;MM;423;MM;432,306;CDM;65 904,00;G;37 120,00;G
W302123200;SU;10;1;205;MM;99;MM;117;MM;2,418;CDM;391;G;232;G
W302123201;CU;1;1;38;MM;97;MM;112;MM;0,413;CDM;78,7;G;59,2;G
W302123201;PAL;2 090;1;1 200,00;MM;800;MM;1 552,00;MM;1 489,92;CDM;231 283,00;G;123 728,00;G
W302123201;PC;1;8;0;MM;0;MM;0;MM;0;CDM;0;G;59,2;G
W302123201;PLR;190;1;1 200,00;MM;800;MM;128;MM;122,88;CDM;18 753,00;G;11 248,00;G
W302123201;SU;10;1;406;MM;105;MM;128;MM;5,457;CDM;987;G;592;G
W302124300;CU;1;1;21;MM;100;MM;200;MM;0,42;CDM;113;G;53,6;G
W302124300;PAL;2 100;1;1 200,00;MM;800;MM;1 614,00;MM;1 549,44;CDM;280 200,00;G;112 560,00;G
W302124300;PC;1;4;0;;0;;0;;0;CDM;0;G;53,6;G
W302124300;PLR;300;1;1 125,00;MM;630;MM;210;MM;201,6;CDM;36 600,00;G;16 080,00;G
W302124300;PLU;2 400;1;1 200,00;MM;1 000,00;MM;1 410,00;MM;1,692;M3;317 800,00;G;128 640,00;G
W302124300;PRU;400;1;1 125,00;MM;840;MM;210;MM;1,984;HL;48 800,00;G;21 440,00;G
W302124300;SU;20;1;225;MM;210;MM;210;MM;9,923;CDM;2 440,00;G;1 072,00;G
W302132800;CU;1;1;38;MM;90;MM;200;MM;0,684;CDM;65,5;G;26;G
W302132800;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;4 341,00;G;1 300,00;G
W302132800;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;115 161,00;G;27 300,00;G
W302132800;PC;1;1;0;;0;;0;;0;CDM;0;G;26;G
W302132800;PLR;350;1;1 200,00;MM;800;MM;427;MM;409,92;CDM;30 387,00;G;9 100,00;G
W302132800;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;402;G;130;G
W302132900;CU;1;1;19;MM;96;MM;112;MM;0,204;CDM;34;G;24,2;G
W302132900;DU;200;1;511;MM;250;MM;423;MM;54,038;CDM;8 456,00;G;4 840,00;G
W302132900;PAL;3 600;1;1 200,00;MM;800;MM;1 413,00;MM;1 356,48;CDM;176 208,00;G;87 120,00;G
W302132900;PC;1;4;0;;0;;0;;0;CDM;0;G;24,2;G
W302132900;PLR;1 200;1;1 200,00;MM;800;MM;423;MM;406,08;CDM;50 736,00;G;29 040,00;G
W302132900;SU;10;1;207;MM;99;MM;118;MM;2,418;CDM;401;G;242;G
W302133000;CU;1;1;19;MM;96;MM;114;MM;0,208;CDM;57,4;G;48,4;G
W302133000;DU;100;1;511;MM;216;MM;250;MM;27,594;CDM;7 066,00;G;4 840,00;G
W302133000;PAL;4 200;1;1 200,00;MM;800;MM;1 640,00;MM;1 574,40;CDM;320 772,00;G;203 280,00;G
W302133000;PC;1;8;0;;0;;0;;0;CDM;0;G;48,4;G
W302133000;PLR;700;1;1 200,00;MM;800;MM;250;MM;240;CDM;49 462,00;G;33 880,00;G
W302133000;SU;10;1;207;MM;99;MM;118;MM;2,418;CDM;663;G;484;G
W302141500;CU;1;1;30;MM;105;MM;206;MM;0,649;CDM;98,5;G;49,85;G
W302141500;PAL;1 540;1;1 200,00;MM;800;MM;1 670,00;MM;1 603,20;CDM;192 168,00;G;76 769,00;G
W302141500;PC;1;5;0;;0;;0;;0;CDM;0;;49,85;G
W302141500;PLR;220;1;1 200,00;MM;800;MM;218;MM;209,28;CDM;24 024,00;G;10 967,00;G
W302141500;SU;20;1;325;MM;225;MM;218;MM;15,941;CDM;2 184,00;G;997;G
W302144600;CU;1;1;46;MM;100;MM;200;MM;0,92;CDM;74,4;G;61,8;G
W302144600;PAL;1 260;1;1 200,00;MM;800;MM;1 649,00;MM;1 583,04;CDM;143 910,00;G;77 868,00;G
W302144600;PC;1;3;0;MM;0;MM;0;MM;0;CDM;0;G;61,8;G
W302144600;PLR;180;1;1 155,00;MM;780;MM;215;MM;206,4;CDM;17 130,00;G;11 124,00;G
W302144600;PLU;1 368;1;1 200,00;MM;1 000,00;MM;1 440,00;MM;1 728,00;CDM;155 188,00;G;84 542,40;G
W302144600;PRU;228;1;1 155,00;MM;990;MM;215;MM;245,842;CDM;21 698,00;G;14 090,40;G
W302144600;SU;6;1;285;MM;105;MM;215;MM;6,328;CDM;571;G;370,8;G
W302144700;CU;1;1;85;MM;150;MM;245;MM;3,124;CDM;260;G;235,2;G
W302144700;PAL;240;1;1 200,00;MM;800;MM;1 746,00;MM;1 676,16;CDM;93 740,00;G;56 448,00;G
W302144700;PC;1;24;0;;0;;0;;0;CDM;0;;235,2;G
W302144700;PLR;40;1;1 200,00;MM;800;MM;267;MM;256,32;CDM;11 640,00;G;9 408,00;G
W302144700;SU;20;1;455;MM;598;MM;267;MM;72,648;CDM;5 820,00;G;4 704,00;G
W302144800;CU;1;1;40;MM;130;MM;205;MM;1,066;CDM;175;G;156,8;G
W302144800;PAL;560;1;1 200,00;MM;800;MM;1 754,00;MM;1 683,84;CDM;134 040,00;G;87 808,00;G
W302144800;PC;1;16;0;;0;;0;;0;CDM;0;;156,8;G
W302144800;PLR;80;1;1 200,00;MM;800;MM;230;MM;220,8;CDM;15 720,00;G;12 544,00;G
W302144800;SU;20;1;350;MM;580;MM;230;MM;46,69;CDM;3 930,00;G;3 136,00;G
W302144801;CU;1;1;40;MM;130;MM;205;MM;1,066;CDM;175;G;156,8;G
W302144801;PAL;560;1;1 200,00;MM;800;MM;1 754,00;MM;1 683,84;CDM;134 040,00;G;87 808,00;G
W302144801;PC;1;16;0;;0;;0;;0;CDM;0;;156,8;G
W302144801;PLR;80;1;1 200,00;MM;800;MM;230;MM;220,8;CDM;15 720,00;G;12 544,00;G
W302144801;SU;20;1;350;MM;580;MM;230;MM;46,69;CDM;3 930,00;G;3 136,00;G
W302144900;CU;1;1;38;MM;90;MM;200;MM;0,684;CDM;83,8;G;44,8;G
W302144900;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;5 256,00;G;2 240,00;G
W302144900;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;134 376,00;G;47 040,00;G
W302144900;PC;1;1;38;MM;90;MM;200;MM;0,684;CDM;83,8;G;44,8;G
W302144900;PLR;350;1;1 200,00;MM;800;MM;427;MM;409,92;CDM;36 792,00;G;15 680,00;G
W302144900;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;493;G;224;G
W302152400;CU;1;1;36;MM;100;MM;187;MM;0,673;CDM;57,8;G;42,8;G
W302152400;PAL;1 920;1;1 200,00;MM;800;MM;1 704,00;MM;1 635,84;CDM;157 248,00;G;82 176,00;G
W302152400;PC;1;4;0;;0;;0;;0;;0;;42,8;G
W302152400;PLR;240;1;1 200,00;MM;740;MM;200;MM;192;CDM;16 656,00;G;10 272,00;G
W302152400;SU;10;1;200;MM;185;MM;200;MM;7,4;CDM;694;G;428;G
W302152401;CU;1;1;74;MM;100;MM;187;MM;1,384;CDM;113,09;G;85,6;G
W302152401;PAL;640;1;1 200,00;MM;800;MM;1 840,00;MM;1 766,40;CDM;111 777,60;G;54 784,00;G
W302152401;PC;1;8;0;;0;;0;;0;;0;;85,6;G
W302152401;PLR;80;1;1 200,00;MM;800;MM;212;MM;203,52;CDM;10 847,20;G;6 848,00;G
W302152401;PLU;720;1;1 200,00;MM;1 000,00;MM;1 422,00;MM;1 706,40;CDM;127 624,80;G;61 632,00;G
W302152401;PRU;120;1;1 200,00;MM;1 000,00;MM;212;MM;254,4;CDM;16 370,80;G;10 272,00;G
W302152401;SU;20;1;426;MM;386;MM;212;MM;34,86;CDM;2 711,80;G;1 712,00;G
W302152800;CU;1;1;40;MM;90;MM;199;MM;0,716;CDM;74,8;G;29,4;G
W302152800;DU;50;1;479;MM;219;MM;427;MM;44,793;CDM;4 806,00;G;1 470,00;G
W302152800;PAL;1 050;1;1 200,00;MM;800;MM;1 425,00;MM;1 368,00;CDM;124 926,00;G;30 870,00;G
W302152800;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;29,4;G
W302152800;PLR;350;1;1 200,00;MM;800;MM;427;MM;409,92;CDM;33 642,00;G;10 290,00;G
W302152800;PLU;1 500;1;1 200,00;MM;1 000,00;MM;1 431,00;MM;1 717,20;CDM;169 180,00;G;44 100,00;G
W302152800;PRU;500;1;1 136,00;MM;958;MM;427;MM;464,699;CDM;48 060,00;G;14 700,00;G
W302152800;SU;5;1;210;MM;95;MM;206;MM;4,11;CDM;448;G;147;G
W302153000;CU;1;1;32;MM;96;MM;112;MM;0,344;CDM;28,8;G;14,1;G
W302153000;DU;100;1;525;MM;200;MM;320;MM;33,6;CDM;3 717,00;G;1 410,00;G
W302153000;PAL;4 000;1;1 200,00;MM;800;MM;1 744,00;MM;1 674,24;CDM;172 680,00;G;56 400,00;G
W302153000;PC;1;3;0;;0;;0;;0;CDM;0;;14,1;G
W302153000;PLR;800;1;1 200,00;MM;800;MM;320;MM;307,2;CDM;29 736,00;G;11 280,00;G
W302153000;PLU;4 000;1;1 200,00;MM;1 000,00;MM;1 430,00;MM;1 716,00;CDM;173 680,00;G;56 400,00;G
W302153000;PRU;1 000;1;1 050,00;MM;1 000,00;MM;320;MM;336;CDM;37 170,00;G;14 100,00;G
