Material,AUn,Numeratr,Denom.,Length,Length.1,Width,Width.1,Height,Height.1,Volume,Volume.1,Gross weight,Gross weight.1,net weight,net weight.1,AUn.1
70057050,PC,1,8.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"91,000",G,
70057050,PLR,100,1.0,"1 200,000",MM,"800,000",MM,"230,000",MM,"192,000",CDM,"11 980,000",G,"9 100,000",G,
70057050,SU,10,1.0,"320,000",MM,"255,000",MM,"230,000",MM,"10,160",CDM,"1 198,000",G,"910,000",G,
7005715R,CU,1,1.0,"85,000",MM,"150,000",MM,"170,000",MM,"2,168",CDM,"259,700",G,"244,800",G,
7005715R,PAL,450,1.0,"1 200,000",MM,"800,000",MM,"1 782,000",MM,"1 710,720",CDM,"155 365,000",G,"110 160,000",G,
7005715R,PC,1,24.0,"85,000",MM,"150,000",MM,"170,000",MM,"2,168",CDM,"259,700",G,"244,800",G,
7005715R,PLR,50,1.0,"1 200,000",MM,"800,000",MM,"182,000",MM,"174,720",CDM,"14 485,000",G,"12 240,000",G,
7005715R,PLU,490,1.0,"1 200,000",MM,"1 000,000",MM,"1 437,000",MM,"1 724,400",CDM,"171 953,000",G,"119 952,000",G,
7005715R,PRU,70,1.0,"1 200,000",MM,"1 000,000",MM,"182,000",MM,"218,400",CDM,"20 279,000",G,"17 136,000",G,
7005715R,SU,10,1.0,"456,000",MM,"326,000",MM,"182,000",MM,"27,055",CDM,"2 879,000",G,"2 448,000",G,
7005715S,CU,1,1.0,"85,000",MM,"150,000",MM,"170,000",MM,"2,168",CDM,"259,700",G,"244,800",G,
7005715S,PAL,450,1.0,"1 200,000",MM,"800,000",MM,"1 782,000",MM,"1 710,720",CDM,"155 365,000",G,"110 160,000",G,
7005715S,PC,1,24.0,"85,000",MM,"150,000",MM,"170,000",MM,"2,168",CDM,"259,700",G,"244,800",G,
7005715S,PLR,50,1.0,"1 200,000",MM,"800,000",MM,"182,000",MM,"174,720",CDM,"14 485,000",G,"12 240,000",G,
7005715S,PLU,490,1.0,"1 200,000",MM,"1 000,000",MM,"1 437,000",MM,"1 724,400",CDM,"171 953,000",G,"119 952,000",G,
7005715S,PRU,70,1.0,"1 200,000",MM,"1 000,000",MM,"182,000",MM,"218,400",CDM,"20 279,000",G,"17 136,000",G,
7005715S,SU,10,1.0,"456,000",MM,"326,000",MM,"182,000",MM,"27,055",CDM,"2 879,000",G,"2 448,000",G,
7005775Z,CU,1,1.0,"85,000",MM,"137,000",MM,"185,000",MM,"2,154",CDM,"211,000",G,"204,000",G,
7005775Z,DU,10,1.0,"376,000",MM,"376,000",MM,"142,000",MM,"20,075",CDM,"2 510,000",G,"2 040,000",G,
7005775Z,PAL,720,1.0,"1 200,000",MM,"800,000",MM,"1 848,000",MM,"1 774,080",CDM,"205 720,000",G,"146 880,000",G,
7005775Z,PC,1,30.0,"85,000",MM,"137,000",MM,"185,000",MM,"2,154",CDM,"211,000",G,"204,000",G,
7005775Z,PLR,60,1.0,"1 200,000",MM,"800,000",MM,"142,000",MM,"136,320",CDM,"15 060,000",G,"12 240,000",G,
7005775Z,PLU,540,1.0,"1 200,000",MM,"1 000,000",MM,"1 441,000",MM,"1 729,200",CDM,"165 540,000",G,"110 160,000",G,
7005775Z,PRU,60,1.0,"1 200,000",MM,"1 000,000",MM,"142,000",MM,"170,400",CDM,"15 060,000",G,"12 240,000",G,
7005775Z,SU,5,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"1 020,000",G,
70057760,CU,1,1.0,"14,000",MM,"130,000",MM,"140,000",MM,"0,255",CDM,"42,000",G,"35,000",G,
70057760,PAL,4 000,1.0,"1 200,000",MM,"800,000",MM,"1 800,000",MM,"1 728,000",CDM,"188 000,000",G,"140 000,000",G,
70057760,PC,1,5.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"35,000",G,
70057760,PLR,400,1.0,"1 200,000",MM,"800,000",MM,"165,000",MM,"158,400",CDM,"16 800,000",G,"14 000,000",G,
70057760,PLU,3 840,1.0,"1 200,000",MM,"1 000,000",MM,"1 491,000",MM,"1 789,200",CDM,"161 280,000",G,"134 400,000",G,
70057760,PRU,480,1.0,"1 200,000",MM,"1 000,000",MM,"165,000",MM,"198,000",CDM,"20 160,000",G,"16 800,000",G,
70057760,SU,20,1.0,"285,000",MM,"155,000",MM,"165,000",MM,"7,289",CDM,"840,000",G,"700,000",G,
7005779X,CU,1,1.0,"155,000",MM,"75,000",MM,"155,000",MM,"1,802",CDM,"335,000",G,"335,000",G,
7005779X,PAL,320,1.0,"1 200,000",MM,"800,000",MM,"1 766,000",MM,"1 695,360",CDM,"149 056,000",G,"107 200,000",G,
7005779X,PC,1,48.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"335,000",G,
7005779X,PCF,1,12.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"335,000",G,
7005779X,PLR,40,1.0,"1 200,000",MM,"800,000",MM,"202,000",MM,"193,920",CDM,"15 632,000",G,"13 400,000",G,
7005779X,SU,5,1.0,"360,000",MM,"300,000",MM,"202,000",MM,"21,816",CDM,"1 880,000",G,"1 675,000",G,
7006066A,CU,1,1.0,"44,000",MM,"100,000",MM,"110,000",MM,"0,484",CDM,"83,000",G,"48,000",G,
7006066A,DU,120,1.0,"475,000",MM,"316,000",MM,"324,000",MM,"48,632",CDM,"11 152,400",G,"5 760,000",G,
7006066A,PAL,3 000,1.0,"1 200,000",MM,"800,000",MM,"1 770,000",MM,"1 699,200",CDM,"278 800,000",G,"144 000,000",G,
7006066A,PC,1,3.0,"0,000",MM,"0,000",MM,"0,000",MM,"0,000",CDM,"0,000",G,"48,000",G,
7006066A,PLR,600,1.0,"1 200,000",MM,"800,000",MM,"324,000",MM,"311,040",CDM,"55 762,000",G,"28 800,000",G,
7006066A,PLU,3 360,1.0,"1 200,000",MM,"1 000,000",MM,"1 446,000",MM,"1 735,200",CDM,"416 412,000",G,"161 280,000",G,
7006066A,PRU,840,1.0,"1 111,000",MM,"954,000",MM,"324,000",MM,"343,406",CDM,"97 853,000",G,"40 320,000",G,
7006066A,SU,10,1.0,"102,000",MM,"233,000",MM,"152,000",MM,"3,612",CDM,"897,400",G,"480,000",G,
7006702B,CU,1,1.0,"65,000",MM,"160,000",MM,"220,000",MM,"2,288",CDM,"175,340",G,"163,200",G,
7006702B,PAL,560,1.0,"1 200,000",MM,"800,000",MM,"1 971,000",MM,"1 892,160",CDM,"132 990,400",G,"91 392,000",G,
7006702B,PC,1,16.0,"65,000",MM,"160,000",MM,"220,000",MM,"2,288",CDM,"175,340",G,"163,200",G,
7006702B,PLR,80,1.0,"1 200,000",MM,"800,000",MM,"261,000",MM,"250,560",CDM,"15 427,200",G,"13 056,000",G,
7006702B,PLU,600,1.0,"1 200,000",MM,"1 000,000",MM,"1 468,000",MM,"1 761,600",CDM,"145 704,000",G,"97 920,000",G,
7006702B,PRU,120,1.0,"1 200,000",MM,"1 000,000",MM,"261,000",MM,"313,200",CDM,"23 140,000",G,"19 584,000",G,
