Material,AUn,Numeratr,Denom.,Length,Length.1,Width,Width.1,Height,Height.1,Volume,Volume.1,Gross weight,Gross weight.1,net weight,net weight.1,AUn.1
V301954100,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"23,360",G,
V301954100,PLR,400,1.0,"1 200,000",MM,"800,000",MM,"105,000",MM,"100,800",CDM,"17 560,000",G,"9 344,000",G,
V301954100,SU,10,1.0,"160,000",MM,"140,000",MM,"105,000",MM,"2,352",CDM,"439,000",G,"233,600",G,
V302007200,CU,1,1.0,"30,000",MM,"120,000",MM,"240,000",MM,"0,864",CDM,"89,000",G,"86,000",G,
V302007200,PAL,1 260,1.0,"1 200,000",MM,"800,000",MM,"1 374,000",MM,"1 319,040",CDM,"154 590,000",G,"108 360,000",G,
V302007200,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"86,000",G,
V302007200,PLR,210,1.0,"1 195,000",MM,"780,000",MM,"205,000",MM,"191,081",CDM,"21 765,000",G,"18 060,000",G,
V302007200,PLU,1 512,1.0,"1 200,000",MM,"1 000,000",MM,"1 380,000",MM,"1 656,000",CDM,"181 708,000",G,"130 032,000",G,
V302007200,PRU,252,1.0,"1 125,000",MM,"970,000",MM,"205,000",MM,"223,706",CDM,"26 118,000",G,"21 672,000",G,
V302007200,SU,14,1.0,"260,000",MM,"225,000",MM,"205,000",MM,"11,993",CDM,"1 451,000",G,"1 204,000",G,
V302007300,CU,1,1.0,"30,000",MM,"120,000",MM,"240,000",MM,"0,864",CDM,"89,000",G,"86,000",G,
V302007300,PAL,1 260,1.0,"1 200,000",MM,"800,000",MM,"1 374,000",MM,"1 319,040",CDM,"154 590,000",G,"108 360,000",G,
V302007300,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"86,000",G,
V302007300,PLR,210,1.0,"1 195,000",MM,"780,000",MM,"205,000",MM,"191,081",CDM,"21 765,000",G,"18 060,000",G,
V302007300,PLU,1 512,1.0,"1 200,000",MM,"1 000,000",MM,"1 380,000",MM,"1 656,000",CDM,"181 708,000",G,"130 032,000",G,
V302007300,PRU,252,1.0,"1 125,000",MM,"970,000",MM,"205,000",MM,"223,706",CDM,"26 118,000",G,"21 672,000",G,
V302007300,SU,14,1.0,"260,000",MM,"225,000",MM,"205,000",MM,"11,993",CDM,"1 451,000",G,"1 204,000",G,
V302048700,CU,1,1.0,"37,000",MM,"125,000",MM,"240,000",MM,"1,110",CDM,"101,000",G,"98,400",G,
V302048700,PAL,1 920,1.0,"1 200,000",MM,"800,000",MM,"1 684,000",MM,"1 616,640",CDM,"240 320,000",G,"188 928,000",G,
V302048700,PC,1,8.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"98,400",G,
V302048700,PLR,192,1.0,"1 200,000",MM,"790,000",MM,"154,000",MM,"145,992",CDM,"21 632,000",G,"18 892,800",G,
V302048700,SU,12,1.0,"295,000",MM,"200,000",MM,"154,000",MM,"9,086",CDM,"1 352,000",G,"1 180,800",G,
V302048800,CU,1,1.0,"0,000",,"0,000",,"0,000",,"1,008",CDM,"179,600",G,"176,000",G,
V302048800,PAL,1 536,1.0,"1 200,000",MM,"800,000",MM,"1 784,000",MM,"1 712,640",CDM,"319 833,600",G,"270 336,000",G,
V302048800,PC,1,20.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"176,000",G,
V302048800,PLR,192,1.0,"1 192,000",MM,"794,000",MM,"205,000",MM,"194,022",CDM,"36 979,200",G,"33 792,000",G,
V302048800,SU,12,1.0,"298,000",MM,"198,000",MM,"205,000",MM,"12,096",CDM,"2 311,200",G,"2 112,000",G,
V302048900,CU,1,1.0,"0,000",,"0,000",,"0,000",,"0,593",CDM,"90,000",G,"88,000",G,
V302048900,PAL,2 560,1.0,"1 200,000",MM,"800,000",MM,"1 784,000",MM,"1 712,640",CDM,"274 368,000",G,"225 280,000",G,
V302048900,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"88,000",G,
V302048900,PLR,320,1.0,"1 180,000",MM,"786,000",MM,"205,000",MM,"190,133",CDM,"31 296,000",G,"28 160,000",G,
V302048900,SU,20,1.0,"295,000",MM,"196,000",MM,"205,000",MM,"11,853",CDM,"1 956,000",G,"1 760,000",G,
V302050900,CU,1,1.0,"22,000",MM,"103,000",MM,"115,000",MM,"0,261",CDM,"36,600",G,"27,400",G,
V302050900,PAL,4 800,1.0,"1 200,000",MM,"800,000",MM,"1 512,000",MM,"1 451,520",CDM,"227 040,000",G,"131 520,000",G,
V302050900,PC,1,5.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"27,400",G,
V302050900,PLR,400,1.0,"1 136,000",MM,"735,000",MM,"114,000",MM,"95,185",CDM,"16 920,000",G,"10 960,000",G,
V302050900,SU,10,1.0,"147,000",MM,"137,000",MM,"114,000",MM,"2,296",CDM,"423,000",G,"274,000",G,
V302054301,CU,1,1.0,"40,000",MM,"90,000",MM,"187,000",MM,"0,673",CDM,"66,300",G,"41,800",G,
V302054301,PAL,1 512,1.0,"1 200,000",MM,"800,000",MM,"1 754,000",MM,"1 683,840",CDM,"151 713,600",G,"63 201,600",G,
V302054301,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"41,800",G,
V302054301,PLR,108,1.0,"1 185,000",MM,"795,000",MM,"115,000",MM,"108,339",CDM,"9 122,400",G,"4 514,400",G,
V302054301,SU,6,1.0,"265,000",MM,"195,000",MM,"115,000",MM,"5,943",CDM,"506,800",G,"250,800",G,
V302055200,CU,1,1.0,"15,000",MM,"96,000",MM,"111,000",MM,"0,160",CDM,"25,800",G,"15,800",G,
V302055200,PAL,5 700,1.0,"1 200,000",MM,"800,000",MM,"1 719,000",MM,"1 650,240",CDM,"207 540,000",G,"90 060,000",G,
V302055200,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"15,800",G,
V302055200,PLR,380,1.0,"1 160,000",MM,"782,000",MM,"105,000",MM,"95,248",CDM,"12 236,000",G,"6 004,000",G,
V302055200,SU,10,1.0,"145,000",MM,"164,000",MM,"105,000",MM,"2,497",CDM,"322,000",G,"158,000",G,
V302066300,CU,1,1.0,"32,000",MM,"96,000",MM,"113,000",MM,"0,347",CDM,"52,220",G,"38,400",G,
V302066300,PAL,3 528,1.0,"1 200,000",MM,"800,000",MM,"1 754,000",MM,"1 683,840",CDM,"222 223,000",G,"135 475,200",G,
V302066300,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"38,400",G,
V302066300,PLR,252,1.0,"1 195,000",MM,"795,000",MM,"115,000",MM,"109,253",CDM,"14 158,000",G,"9 676,800",G,
V302066300,SU,14,1.0,"265,000",MM,"195,000",MM,"115,000",MM,"5,943",CDM,"840,080",G,"537,600",G,
V302070800,CU,1,1.0,"0,000",,"0,000",,"0,000",,"0,743",CDM,"83,000",G,"81,000",G,
V302070800,PAL,2 016,1.0,"1 200,000",MM,"800,000",MM,"1 754,000",MM,"1 683,840",CDM,"218 796,000",G,"163 296,000",G,
V302070800,PC,1,15.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"81,000",G,
V302070800,PLR,144,1.0,"1 185,000",MM,"795,000",MM,"115,000",MM,"108,339",CDM,"13 914,000",G,"11 664,000",G,
V302070800,SU,8,1.0,"265,000",MM,"195,000",MM,"115,000",MM,"5,943",CDM,"773,000",G,"648,000",G,
V302071000,CU,1,1.0,"5,000",MM,"100,000",MM,"200,000",MM,"0,100",CDM,"49,900",G,"30,260",G,
V302071000,PAL,1 449,1.0,"1 200,000",MM,"800,000",MM,"1 719,000",MM,"1 650,240",CDM,"115 142,100",G,"43 846,740",G,
V302071000,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"30,260",G,
V302071000,PLR,207,1.0,"1 150,000",MM,"757,000",MM,"225,000",MM,"195,874",CDM,"13 020,300",G,"6 263,820",G,
V302071000,SU,9,1.0,"321,000",MM,"115,000",MM,"225,000",MM,"8,306",CDM,"566,100",G,"272,340",G,
V302085300,CU,1,1.0,"0,000",,"0,000",,"0,000",,"0,594",CDM,"81,000",G,"78,000",G,
V302085300,PAL,2 520,1.0,"1 200,000",MM,"800,000",MM,"1 754,000",MM,"1 683,840",CDM,"255 588,000",G,"196 560,000",G,
V302085300,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"78,000",G,
V302085300,PLR,180,1.0,"1 185,000",MM,"795,000",MM,"115,000",MM,"108,339",CDM,"16 542,000",G,"14 040,000",G,
V302085300,SU,10,1.0,"265,000",MM,"195,000",MM,"115,000",MM,"5,943",CDM,"919,000",G,"780,000",G,
V302085500,CU,1,1.0,"0,000",,"0,000",,"0,000",,"0,454",CDM,"44,000",G,"42,000",G,
V302085500,PAL,3 200,1.0,"1 200,000",MM,"800,000",MM,"1 684,000",MM,"1 616,640",CDM,"183 520,000",G,"134 400,000",G,
V302085500,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"42,000",G,
V302085500,PLR,320,1.0,"1 200,000",MM,"790,000",MM,"154,000",MM,"145,992",CDM,"15 952,000",G,"13 440,000",G,
V302085500,SU,20,1.0,"295,000",MM,"200,000",MM,"154,000",MM,"9,086",CDM,"997,000",G,"840,000",G,
V302091300,CU,1,1.0,"34,000",MM,"103,000",MM,"195,000",MM,"0,683",CDM,"66,700",G,"49,200",G,
V302091300,PAL,1 463,1.0,"1 200,000",MM,"800,000",MM,"1 649,000",MM,"1 583,040",CDM,"142 197,100",G,"71 979,600",G,
V302091300,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"49,200",G,
V302091300,PLR,209,1.0,"1 185,000",MM,"745,000",MM,"215,000",MM,"189,807",CDM,"16 885,300",G,"10 282,800",G,
V302091300,SU,11,1.0,"415,000",MM,"110,000",MM,"215,000",MM,"9,815",CDM,"888,700",G,"541,200",G,
V302091400,CU,1,1.0,"30,000",MM,"95,000",MM,"230,000",MM,"0,656",CDM,"34,000",G,"32,000",G,
V302091400,PAL,2 450,1.0,"1 200,000",MM,"800,000",MM,"1 670,000",MM,"1 603,200",CDM,"134 495,000",G,"78 400,000",G,
V302091400,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"32,000",G,
V302091400,PLR,350,1.0,"1 190,000",MM,"788,000",MM,"218,000",MM,"20,442",CDM,"15 785,000",G,"11 200,000",G,
V302091400,SU,10,1.0,"238,000",MM,"110,000",MM,"218,000",MM,"5,707",CDM,"451,000",G,"320,000",G,
V302092001,CU,1,1.0,"0,000",,"0,000",,"0,000",,"0,605",CDM,"90,000",G,"88,000",G,
V302092001,PAL,2 560,1.0,"1 200,000",MM,"800,000",MM,"1 784,000",MM,"1 712,640",CDM,"271 296,000",G,"225 280,000",G,
V302092001,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"88,000",G,
V302092001,PLR,320,1.0,"1 192,000",MM,"794,000",MM,"205,000",MM,"194,022",CDM,"30 912,000",G,"28 160,000",G,
V302092001,SU,20,1.0,"298,000",MM,"198,000",MM,"205,000",MM,"12,096",CDM,"1 932,000",G,"1 760,000",G,
V302140700,CU,1,1.0,"0,000",,"0,000",,"0,000",,"11,731",CDM,"1 245,000",G,"1 000,000",G,
V302140700,PAL,105,1.0,"1 200,000",MM,"800,000",MM,"1 754,000",MM,"1 683,840",CDM,"154 725,000",G,"105 000,000",G,
V302140700,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"1 000,000",G,
V302140700,PLR,15,1.0,"1 146,000",MM,"768,000",MM,"210,000",MM,"184,827",CDM,"18 675,000",G,"15 000,000",G,
V302140700,SU,1,1.0,"245,000",MM,"228,000",MM,"210,000",MM,"11,731",CDM,"1 245,000",G,"1 000,000",G,
V302141000,CU,1,1.0,"24,000",MM,"102,000",MM,"181,000",MM,"6,186",CDM,"697,000",G,"537,000",G,
V302141000,PAL,210,1.0,"1 200,000",MM,"800,000",MM,"1 614,000",MM,"1 549,440",CDM,"170 370,000",G,"112 770,000",G,
V302141000,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"537,000",G,
V302141000,PLR,30,1.0,"1 174,000",MM,"782,000",MM,"210,000",MM,"192,794",CDM,"21 690,000",G,"16 110,000",G,
V302141000,SU,1,1.0,"215,000",MM,"137,000",MM,"210,000",MM,"6,186",CDM,"723,000",G,"537,000",G,
V302183400,CU,1,1.0,"10,000",MM,"98,000",MM,"110,000",MM,"0,108",CDM,"36,100",G,"14,600",G,
V302183400,PAL,5 760,1.0,"1 200,000",MM,"800,000",MM,"1 464,000",MM,"1 405,440",CDM,"268 224,000",G,"84 096,000",G,
V302183400,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"14,600",G,
V302183400,PLR,480,1.0,"1 101,000",MM,"798,000",MM,"110,000",MM,"96,646",CDM,"20 352,000",G,"7 008,000",G,
V302183400,SU,10,1.0,"138,000",MM,"133,000",MM,"110,000",MM,"2,019",CDM,"424,000",G,"146,000",G,
V302190200,CU,1,1.0,"42,000",MM,"72,000",MM,"220,000",MM,"0,665",CDM,"90,000",G,"88,000",G,
V302190200,PAL,2 520,1.0,"1 200,000",MM,"800,000",MM,"1 754,000",MM,"1 683,840",CDM,"278 268,000",G,"221 760,000",G,
V302190200,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"88,000",G,
V302190200,PLR,180,1.0,"1 185,000",MM,"795,000",MM,"115,000",MM,"108,339",CDM,"18 162,000",G,"15 840,000",G,
V302190200,SU,10,1.0,"265,000",MM,"195,000",MM,"115,000",MM,"5,943",CDM,"1 009,000",G,"880,000",G,
V302190400,CU,1,1.0,"35,000",MM,"104,000",MM,"240,000",MM,"0,874",CDM,"75,800",G,"73,800",G,
V302190400,PAL,2 520,1.0,"1 200,000",MM,"800,000",MM,"1 409,000",MM,"1 352,640",CDM,"242 484,000",G,"185 976,000",G,
V302190400,PC,1,6.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"73,800",G,
V302190400,PLR,180,1.0,"1 185,000",MM,"795,000",MM,"115,000",MM,"108,339",CDM,"15 606,000",G,"13 284,000",G,
V302190400,SU,10,1.0,"265,000",MM,"195,000",MM,"115,000",MM,"5,943",CDM,"867,000",G,"738,000",G,
V302190500,CU,1,1.0,"35,000",MM,"140,000",MM,"240,000",MM,"1,176",CDM,"75,800",G,"73,800",G,
V302190500,PAL,2 520,1.0,"1 200,000",MM,"800,000",MM,"1 409,000",MM,"1 352,640",CDM,"242 484,000",G,"185 976,000",G,
V302190500,PC,1,6.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"73,800",G,
V302190500,PLR,180,1.0,"1 185,000",MM,"795,000",MM,"115,000",MM,"108,339",CDM,"15 606,000",G,"13 284,000",G,
V302190500,SU,10,1.0,"265,000",MM,"195,000",MM,"115,000",MM,"5,943",CDM,"867,000",G,"738,000",G,
V302192400,CU,1,1.0,"45,000",MM,"108,000",MM,"210,000",MM,"1,021",CDM,"92,700",G,"70,800",G,
V302192400,PAL,1 127,1.0,"1 200,000",MM,"800,000",MM,"1 719,000",MM,"1 650,240",CDM,"146 987,900",G,"79 791,600",G,
V302192400,PC,1,3.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"70,800",G,
V302192400,PLR,161,1.0,"1 150,000",MM,"757,000",MM,"225,000",MM,"195,874",CDM,"17 569,700",G,"11 398,800",G,
V302192400,SU,7,1.0,"321,000",MM,"115,000",MM,"225,000",MM,"8,306",CDM,"763,900",G,"495,600",G,
V302211000,CU,1,1.0,"20,000",MM,"101,000",MM,"123,000",MM,"0,248",CDM,"33,200",G,"24,000",G,
V302211000,PAL,3 360,1.0,"1 200,000",MM,"800,000",MM,"1 450,000",MM,"1 392,000",CDM,"160 392,000",G,"80 640,000",G,
V302211000,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",G,"24,000",G,
V302211000,PLR,336,1.0,"1 156,000",MM,"737,000",MM,"130,000",MM,"110,756",CDM,"13 639,200",G,"8 064,000",G,
V302211000,SU,28,1.0,"313,000",MM,"217,000",MM,"130,000",MM,"8,830",CDM,"1 136,600",G,"672,000",G,
V302242900,CU,1,1.0,"30,000",MM,"95,000",MM,"230,000",MM,"0,656",CDM,"2 800,400",G,"2 501,400",G,
V302242900,PAL,56,1.0,"1 200,000",MM,"800,000",MM,"1 579,000",MM,"1 515,840",CDM,"180 822,400",G,"140 078,400",G,
V302242900,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"2 501,400",G,
V302242900,PLR,7,1.0,"1 200,000",MM,"700,000",MM,"205,000",MM,"172,200",CDM,"19 602,800",G,"17 509,800",G,
V302242900,SU,1,1.0,"350,000",MM,"300,000",MM,"205,000",MM,"21,525",CDM,"2 800,400",G,"2 501,400",G,
V302243100,CU,1,1.0,"20,000",MM,"95,000",MM,"215,000",MM,"0,409",CDM,"56,000",G,"54,000",G,
V302243100,PAL,2 560,1.0,"1 200,000",MM,"800,000",MM,"1 784,000",MM,"1 712,640",CDM,"184 256,000",G,"138 240,000",G,
V302243100,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"54,000",G,
V302243100,PLR,320,1.0,"1 192,000",MM,"794,000",MM,"205,000",MM,"194,022",CDM,"20 032,000",G,"17 280,000",G,
V302243100,SU,20,1.0,"298,000",MM,"198,000",MM,"205,000",MM,"12,096",CDM,"1 252,000",G,"1 080,000",G,
V302285600,CU,1,1.0,"0,000",MM,"0,000",MM,"0,000",MM,"0,000",CDM,"107,800",G,"59,060",G,
V302285600,PAL,1 200,1.0,"1 200,000",MM,"800,000",MM,"1 470,000",MM,"1 411,200",CDM,"168 280,000",G,"70 872,000",G,
V302285600,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"59,060",G,
V302285600,PLR,200,1.0,"1 125,000",MM,"780,000",MM,"220,000",MM,"193,050",CDM,"23 880,000",G,"11 812,000",G,
V302285600,SU,10,1.0,"225,000",MM,"195,000",MM,"220,000",MM,"9,653",CDM,"1 194,000",G,"590,600",G,
V302292500,CU,1,1.0,"21,000",MM,"96,000",MM,"113,000",MM,"0,228",CDM,"42,300",G,"32,300",G,
V302292500,PAL,5 460,1.0,"1 200,000",MM,"800,000",MM,"1 782,000",MM,"1 710,720",CDM,"284 988,000",G,"176 358,000",G,
V302292500,PC,1,5.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"32,300",G,
V302292500,PLR,390,1.0,"1 200,000",MM,"772,000",MM,"117,000",MM,"108,389",CDM,"18 642,000",G,"12 597,000",G,
V302292500,SU,10,1.0,"236,000",MM,"100,000",MM,"117,000",MM,"2,761",CDM,"478,000",G,"323,000",G,
V302292600,CU,1,1.0,"32,000",MM,"96,000",MM,"113,000",MM,"0,347",CDM,"48,400",G,"38,400",G,
V302292600,PAL,3 822,1.0,"1 200,000",MM,"800,000",MM,"1 782,000",MM,"1 710,720",CDM,"239 014,800",G,"146 764,800",G,
V302292600,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"38,400",G,
V302292600,PLR,273,1.0,"1 200,000",MM,"772,000",MM,"117,000",MM,"108,389",CDM,"15 358,200",G,"10 483,200",G,
V302292600,SU,7,1.0,"236,000",MM,"100,000",MM,"117,000",MM,"2,761",CDM,"393,800",G,"268,800",G,
V302297800,CU,1,1.0,"40,000",MM,"160,000",MM,"235,000",MM,"1,504",CDM,"137,600",G,"135,600",G,
V302297800,PAL,1 536,1.0,"1 200,000",MM,"800,000",MM,"1 784,000",MM,"1 712,640",CDM,"249 177,600",G,"208 281,600",G,
V302297800,PC,1,12.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"135,600",G,
V302297800,PLR,192,1.0,"1 192,000",MM,"794,000",MM,"205,000",MM,"194,022",CDM,"28 147,200",G,"26 035,200",G,
V302297800,SU,12,1.0,"298,000",MM,"198,000",MM,"205,000",MM,"12,096",CDM,"1 759,200",G,"1 627,200",G,
V302302900,CU,1,1.0,"44,000",MM,"105,000",MM,"201,000",MM,"0,929",CDM,"71,380",G,"46,440",G,
V302302900,PAL,1 610,1.0,"1 200,000",MM,"800,000",MM,"1 719,000",MM,"1 650,240",CDM,"157 436,800",G,"74 768,400",G,
V302302900,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"46,440",G,
V302302900,PLR,230,1.0,"1 150,000",MM,"757,000",MM,"225,000",MM,"195,874",CDM,"19 062,400",G,"10 681,200",G,
V302302900,SU,10,1.0,"325,000",MM,"115,000",MM,"225,000",MM,"8,409",CDM,"828,800",G,"464,400",G,
V302303000,CU,1,1.0,"19,000",MM,"101,000",MM,"97,000",MM,"0,186",CDM,"36,400",G,"23,360",G,
V302303000,PAL,5 760,1.0,"1 200,000",MM,"800,000",MM,"1 512,000",MM,"1 670,400",CDM,"261 024,000",G,"134 553,600",G,
V302303000,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"23,360",G,
V302303000,PLR,480,1.0,"1 116,000",MM,"735,000",MM,"114,000",MM,"93,510",CDM,"19 752,000",G,"11 212,800",G,
V302303000,SU,12,1.0,"147,000",MM,"137,000",MM,"114,000",MM,"2,296",CDM,"493,800",G,"280,320",G,
V302338300,CU,1,1.0,"15,000",MM,"100,000",MM,"290,000",MM,"0,435",CDM,"46,000",G,"44,000",G,
V302338300,PAL,2 560,1.0,"1 200,000",MM,"800,000",MM,"1 784,000",MM,"1 712,640",CDM,"158 656,000",G,"112 640,000",G,
V302338300,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",G,"44,000",G,
V302338300,PLR,320,1.0,"1 192,000",MM,"794,000",MM,"205,000",MM,"194,022",CDM,"16 832,000",G,"14 080,000",G,
V302338300,SU,20,1.0,"298,000",MM,"198,000",MM,"205,000",MM,"12,096",CDM,"1 052,000",G,"880,000",G,
V302338400,CU,1,1.0,"35,000",MM,"95,000",MM,"225,000",MM,"0,748",CDM,"56,000",G,"54,000",G,
V302338400,PAL,1 960,1.0,"1 200,000",MM,"800,000",MM,"1 670,000",MM,"1,603",CDM,"166 345,000",G,"105 840,000",G,
V302338400,PC,1,10.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",G,"54,000",G,
V302338400,PLR,280,1.0,"1 200,000",MM,"800,000",MM,"218,000",MM,"2,093",CDM,"20 335,000",G,"15 120,000",G,
V302338400,SU,8,1.0,"240,000",MM,"112,000",MM,"218,000",MM,"5,860",CDM,"581,000",G,"432,000",G,
V302340300,CU,1,1.0,"28,000",MM,"114,000",MM,"210,000",MM,"0,670",CDM,"97,100",G,"76,890",G,
V302340300,PAL,1 610,1.0,"1 200,000",MM,"800,000",MM,"1 719,000",MM,"1,650",CDM,"198 846,000",G,"123 792,900",G,
V302340300,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",G,"76,890",G,
V302340300,PLR,230,1.0,"1 150,000",MM,"757,000",MM,"225,000",MM,"0,196",CDM,"24 978,000",G,"17 684,700",G,
V302340300,SU,10,1.0,"321,000",MM,"115,000",MM,"225,000",MM,"8,306",CDM,"1 086,000",G,"768,900",G,
V302340400,CU,1,1.0,"24,000",MM,"114,000",MM,"210,000",MM,"0,575",CDM,"90,800",G,"68,640",G,
V302340400,PAL,1 600,1.0,"1 200,000",MM,"800,000",MM,"1 684,000",MM,"1,617",CDM,"188 000,000",G,"109 824,000",G,
V302340400,PC,1,5.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",G,"68,640",G,
V302340400,PLR,160,1.0,"1 200,000",MM,"790,000",MM,"154,000",MM,"0,146",CDM,"16 400,000",G,"10 982,400",G,
V302340400,SU,10,1.0,"295,000",MM,"200,000",MM,"154,000",MM,"9,086",CDM,"1 025,000",G,"686,400",G,
V302372700,CU,1,1.0,"37,000",MM,"125,000",MM,"240,000",MM,"1,110",CDM,"101,000",G,"98,400",G,
V302372700,PAL,1 512,1.0,"1 200,000",MM,"800,000",MM,"1 754,000",MM,"1 683,840",CDM,"205 692,000",G,"148 780,800",G,
V302372700,PC,1,8.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"98,400",G,
V302372700,PLR,108,1.0,"1 185,000",MM,"795,000",MM,"115,000",MM,"108,339",CDM,"12 978,000",G,"10 627,200",G,
V302372700,SU,6,1.0,"265,000",MM,"195,000",MM,"115,000",MM,"5,943",CDM,"717,400",G,"590,400",G,
V302372800,CU,1,1.0,"20,000",MM,"95,000",MM,"215,000",MM,"0,590",CDM,"55,920",G,"5,400",G,
V302372800,PAL,1 600,1.0,"1 200,000",MM,"800,000",MM,"1 169,000",MM,"1 683,840",CDM,"124 032,000",G,"8 640,000",G,
V302372800,PC,1,10.0,"0,000",MM,"0,000",MM,"0,000",MM,"0,000",CDM,"0,000",G,"5,400",G,
V302372800,PLR,320,1.0,"1 192,000",MM,"784,000",MM,"205,000",MM,"108,339",CDM,"20 006,400",G,"1 728,000",G,
V302372800,SU,20,1.0,"298,000",MM,"198,000",MM,"205,000",MM,"5,943",CDM,"1 250,400",G,"108,000",G,
V302373000,CU,1,1.0,"35,000",MM,"95,000",MM,"225,000",MM,"0,748",CDM,"56,000",G,"54,000",G,
V302373000,PAL,1 960,1.0,"1 200,000",MM,"800,000",MM,"1 670,000",MM,"1 603,200",CDM,"166 345,000",G,"105 840,000",G,
V302373000,PC,1,10.0,"0,000",MM,"0,000",MM,"0,000",MM,"0,000",CDM,"0,000",G,"54,000",G,
V302373000,PLR,280,1.0,"1 200,000",MM,"800,000",MM,"218,000",MM,"209,280",CDM,"20 335,000",G,"15 120,000",G,
V302373000,SU,8,1.0,"240,000",MM,"112,000",MM,"218,000",MM,"5,860",CDM,"581,000",G,"432,000",G,
V302382900,CU,1,1.0,"40,000",MM,"125,000",MM,"200,000",MM,"1,000",CDM,"143,200",G,"118,490",G,
V302382900,PAL,1 280,1.0,"1 200,000",MM,"800,000",MM,"1 684,000",MM,"1 616,640",CDM,"226 016,000",G,"151 667,200",G,
V302382900,PC,1,9.0,"40,000",MM,"125,000",MM,"200,000",MM,"1,000",CDM,"143,200",G,"118,490",G,
V302382900,PLR,128,1.0,"1 200,000",MM,"790,000",MM,"154,000",MM,"145,992",CDM,"20 201,600",G,"15 166,720",G,
V302382900,SU,8,1.0,"295,000",MM,"200,000",MM,"154,000",MM,"9,086",CDM,"1 262,600",G,"947,920",G,
V302384100,CU,1,1.0,"21,000",MM,"96,000",MM,"113,000",MM,"0,228",CDM,"42,300",G,"32,340",G,
V302384100,PAL,4 800,1.0,"1 200,000",MM,"800,000",MM,"1 404,000",MM,"1 347,840",CDM,"257 952,000",G,"155 232,000",G,
V302384100,PC,1,5.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"32,340",G,
V302384100,PLR,400,1.0,"1 200,000",MM,"800,000",MM,"105,000",MM,"100,800",CDM,"19 496,000",G,"12 936,000",G,
V302384100,SU,10,1.0,"140,000",MM,"160,000",MM,"105,000",MM,"2,352",CDM,"487,400",G,"323,400",G,
V950096400,CU,1,1.0,"41,000",MM,"105,000",MM,"201,000",MM,"0,909",CDM,"70,100",G,"47,600",G,
V950096400,PAL,1 600,1.0,"1 200,000",MM,"800,000",MM,"1 684,000",MM,"1 616,640",CDM,"154 944,000",G,"76 160,000",G,
V950096400,PC,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",,"0,000",,"47,600",G,
V950096400,PLR,160,1.0,"1 200,000",MM,"790,000",MM,"154,000",MM,"145,992",CDM,"13 094,400",G,"7 616,000",G,
